Date,Buffer pressure min,Buffer pressure max,Annulus pressure min,Annulus pressure max,Flow pressure min,Flow pressure max,T min,T max,Qliq,Qoil,Water cut,Qgas,Choke,Gas factor,Gas injection rate,Downtime,Potential oil production,Potential liquid production
2021-01-02,36.0,45.0,87.0,88.0,15.0,18.0,36,45,151.999992,94.54320988,37.8,67236,14,878,9.93,0.0,76.58,152.0
2021-01-16,34.0,47.0,81.0,88.0,14.0,18.0,36,46,169.812494,104.2608025,38.6,43527,14,419,9.91,4.5,103.94,209.0
2021-01-21,40.0,45.0,83.0,87.0,14.0,19.0,40,44,180.999984,108.6049383,40.0,51429,14,585,10.13,0.0,87.97,181.0
2021-01-22,40.0,46.0,87.0,88.0,15.0,21.0,38,42,180.999984,108.6049383,40.0,51429,14,585,9.5,0.0,87.97,181.0
2021-01-23,38.0,46.0,87.0,88.0,15.0,21.0,37,42,180.999984,108.6049383,40.0,51429,14,585,10.0,0.0,87.97,181.0
2021-01-24,38.0,46.0,87.0,88.0,15.0,21.0,37,42,180.999984,108.6049383,40.0,51429,14,585,10.1,0.0,87.97,181.0
2021-01-25,38.0,47.0,86.0,89.0,14.0,19.0,36,42,180.999984,108.6049383,40.0,51429,14,585,10.03,0.0,87.97,181.0
2021-01-26,38.0,47.0,86.0,89.0,14.0,19.0,36,42,180.999984,108.6049383,40.0,51429,14,585,10.04,0.0,87.97,181.0
2021-01-27,38.0,47.0,86.0,89.0,14.0,19.0,36,42,180.999984,108.6049383,40.0,51429,14,585,9.99,0.0,87.97,181.0
2021-01-28,38.0,47.0,86.0,89.0,14.0,19.0,36,42,180.999984,108.6049383,40.0,51429,14,585,9.99,0.0,87.97,181.0
2021-01-29,17.0,52.0,81.0,93.0,14.0,19.0,28,43,180.999984,108.6049383,40.0,51429,14,585,9.99,0.0,87.97,181.0
2021-02-02,37.9,46.5,99.3,100.5,14.7,19.1,36,42,205.999992,120.0,41.7,62772,16,646,22.13,0.0,97.28,206.0
2021-02-03,37.4,46.5,97.7,99.2,15.4,18.9,37,42,204.199992,121.1728395,40.7,63148,16,643,20.99,0.0,98.08,204.2
2021-02-04,42.5,47.3,97.1,97.8,15.2,19.5,40,42,204.0,121.4814815,40.7,63291,16,643,21.09,0.0,97.99,204.0
2021-02-05,43.8,45.7,96.8,97.4,15.1,18.4,40,42,194.799984,116.6666667,40.1,77683,16,822,20.93,0.0,94.52,194.8
2021-02-06,44.7,45.5,97.1,97.5,15.4,18.7,39,42,186.999984,112.5925926,40.1,89860,16,985,21.04,0.0,90.73,187.0
2021-02-07,44.0,45.4,97.1,97.5,15.1,17.7,40,41,195.199992,117.4074074,40.1,85261,16,897,21.03,0.0,90.73,195.2
2021-02-08,37.0,46.0,97.3,98.0,14.0,19.0,37,43,195.199992,117.5061728,39.8,85261,16,897,20.09,0.0,95.18,195.2
2021-02-09,38.3,46.5,97.3,97.4,14.5,20.7,37,43,195.199992,117.5061728,39.8,85261,16,897,20.79,0.0,95.18,195.2
2021-02-10,36.8,46.1,97.1,97.4,14.3,21.6,37,43,184.999992,111.0,40.0,69634,16,774,21.18,0.0,89.91,185.0
2021-02-11,38.2,46.2,97.0,97.4,13.9,18.8,37,43,184.999992,111.0,40.0,69634,16,774,20.98,0.0,89.91,185.0
2021-02-12,37.7,46.5,96.9,97.4,14.5,19.1,37,43,184.999992,111.0,40.0,69634,16,774,21.02,0.0,89.91,185.0
2021-02-13,38.7,46.4,97.0,97.4,14.3,18.9,37,43,184.999992,111.0,40.0,69634,16,774,20.86,0.0,89.91,185.0
2021-02-14,37.5,46.8,97.0,97.4,14.4,20.9,37,43,178.999992,107.3950617,40.0,72602,16,835,21.12,0.0,86.99,179.0
2021-02-15,35.8,46.9,96.7,97.4,14.8,18.4,37,43,178.999992,107.3950617,40.0,72602,16,835,20.98,0.0,86.99,179.0
2021-02-16,36.3,47.0,96.9,97.9,14.8,19.1,36,44,178.999992,107.3950617,40.0,72602,16,835,20.86,0.0,86.99,179.0
2021-02-17,36.2,47.3,96.4,97.5,14.8,22.7,36,44,178.999992,107.3950617,40.0,72602,16,835,21.23,0.0,86.99,179.0
2021-02-18,35.0,47.3,96.4,97.5,14.8,22.7,36,44,184.999992,111.1851852,39.9,69646,16,773,21.63,0.0,90.06,185.0
2021-02-19,35.0,46.0,96.0,98.0,15.0,23.0,36,45,184.999992,111.1851852,39.9,69646,16,773,20.87,0.0,90.06,185.0
2021-02-20,34.0,46.0,95.0,97.0,15.0,23.0,36,45,184.999992,111.1851852,39.9,69646,16,773,20.43,0.0,90.06,185.0
2021-02-21,34.0,46.0,95.0,97.0,15.0,23.0,36,45,184.999992,111.1851852,39.9,69646,16,773,18.7,0.0,90.06,185.0
2021-02-22,36.0,47.0,91.0,93.0,14.0,22.0,37,44,192.999984,116.382716,39.7,67145,16,712,21.24,0.0,94.27,193.0
2021-02-23,36.0,47.0,91.0,93.0,14.0,17.0,37,43,192.999984,116.382716,39.7,67145,16,712,21.22,0.0,94.27,193.0
2021-02-24,35.0,47.0,93.0,94.0,14.0,20.0,36,44,192.999984,116.382716,39.7,67145,16,712,21.02,0.0,94.27,193.0
2021-02-25,35.0,48.0,92.0,93.0,14.0,18.0,36,44,192.999984,116.382716,39.7,67145,16,712,21.42,0.0,94.27,193.0
2021-02-26,35.0,47.0,93.0,94.0,14.0,18.0,36,44,192.999984,116.382716,39.7,67145,16,712,20.86,0.0,94.27,193.0
2021-02-27,34.0,47.0,93.0,94.0,14.0,18.0,36,44,192.999984,116.382716,39.7,67145,16,712,21.23,0.0,94.27,193.0
2021-02-28,34.0,48.0,93.0,94.0,14.0,21.0,35,44,204.999984,122.7901235,40.1,61321,16,617,20.86,0.0,99.46,205.0
2021-03-01,34.0,47.0,92.0,93.0,14.0,20.0,34,45,204.999984,122.7901235,40.1,61321,16,617,21.29,0.0,99.46,205.0
2021-03-02,33.0,47.0,92.0,93.0,15.0,18.0,36,45,204.999984,122.7901235,40.1,61321,16,617,20.97,0.0,99.46,205.0
2021-03-03,33.0,47.0,93.0,94.0,15.0,18.0,36,45,201.999984,120.3950617,40.4,60824,16,624,21.09,0.0,97.52,202.0
2021-03-04,28.0,48.0,93.0,94.0,15.0,18.0,35,44,201.999984,120.3950617,40.4,60824,16,624,20.9,0.0,97.52,202.0
2021-03-05,28.0,47.0,92.0,93.0,15.0,19.0,35,44,201.999984,120.3950617,40.4,60824,16,624,20.92,0.0,97.52,202.0
2021-03-06,30.0,47.0,92.0,93.0,15.0,19.0,35,45,201.999984,120.3950617,40.4,60824,16,624,21.15,0.0,97.52,202.0
2021-03-07,31.0,48.0,92.0,93.0,15.0,19.0,36,45,180.0,105.1234568,41.6,68392,16,803,20.96,0.0,85.15,180.0
2021-03-08,30.0,47.0,92.0,93.0,15.0,20.0,36,45,180.0,105.1234568,41.6,68392,16,803,21.26,0.0,85.15,180.0
2021-03-09,31.0,47.0,92.0,93.0,15.0,20.0,36,45,180.999984,106.2469136,41.3,67465,16,784,21.0,0.0,86.06,181.0
2021-03-10,28.0,48.0,92.0,93.0,15.0,20.0,36,45,180.999984,106.2469136,41.3,67465,16,784,21.01,0.0,86.06,181.0
2021-03-11,29.0,48.0,92.0,93.0,15.0,20.0,36,45,178.999992,103.0987654,42.4,67173,16,804,21.01,0.0,83.51,179.0
2021-03-12,29.0,48.0,92.0,93.0,15.0,19.0,36,45,178.999992,103.0987654,42.4,67173,16,804,21.02,0.0,83.51,179.0
2021-03-13,28.0,48.0,93.0,94.0,15.0,19.0,36,45,179.899992,104.345679,42.0,67386,16,797,21.03,0.0,84.52,179.9
2021-03-14,30.0,48.0,93.0,94.0,14.0,19.0,36,45,179.899992,104.345679,42.0,67386,16,797,21.0,0.0,84.52,179.9
2021-03-15,29.0,47.0,93.0,94.0,15.0,18.0,35,44,179.899992,104.345679,42.0,67386,16,797,21.08,0.0,84.52,179.9
2021-03-16,35.0,47.0,93.0,94.0,15.0,18.0,37,44,179.899992,104.345679,42.0,67386,16,797,21.02,0.0,84.52,179.9
2021-03-17,35.0,45.0,93.0,93.0,15.0,18.0,38,44,183.0,105.4074074,42.4,63636,16,745,21.27,0.0,85.38,183.0
2021-03-18,34.0,47.0,93.0,93.0,15.0,19.0,36,44,183.0,105.4074074,42.4,63636,16,745,21.02,0.0,85.38,183.0
2021-03-19,33.0,47.0,93.0,93.0,15.0,19.0,36,44,183.0,105.4074074,42.4,63636,16,745,20.97,0.0,85.38,183.0
2021-03-20,34.0,47.0,93.0,93.0,15.0,20.0,36,44,183.0,105.4074074,42.4,63636,16,745,21.11,0.0,85.38,183.0
2021-03-21,33.0,47.0,93.0,93.0,14.0,24.0,36,44,183.0,105.4074074,42.4,63636,16,745,20.96,0.0,85.38,183.0
2021-03-22,34.0,46.0,93.0,93.0,14.0,20.0,37,44,183.0,105.4074074,42.4,63636,16,745,20.95,0.0,85.38,183.0
2021-03-23,34.0,46.0,93.0,93.0,14.0,21.0,37,44,183.0,105.4074074,42.4,63636,16,745,20.98,0.0,85.38,183.0
2021-03-24,34.0,46.0,93.0,93.0,15.0,25.0,37,44,187.999992,108.6666667,42.2,60718,16,690,20.95,0.0,88.02,188.0
2021-03-25,36.0,46.0,93.0,93.0,15.0,19.0,37,44,187.999992,108.6666667,42.2,60718,16,690,21.01,0.0,88.02,188.0
2021-03-26,36.0,46.0,93.0,93.0,15.0,26.0,37,44,193.999992,112.9135802,41.8,57361,16,627,20.92,0.0,91.46,194.0
2021-03-27,34.0,46.0,93.0,93.0,14.0,19.0,38,44,193.999992,112.9135802,41.8,57361,16,627,21.08,0.0,91.46,194.0
2021-03-28,34.0,46.0,93.0,93.0,14.0,21.0,38,44,193.999992,112.9135802,41.8,57361,16,627,20.99,0.0,91.46,194.0
2021-03-29,34.0,45.0,92.0,93.0,15.0,26.0,38,44,193.999992,112.9135802,41.8,57361,16,627,21.05,0.0,91.46,194.0
2021-03-30,36.0,44.0,92.0,93.0,16.0,25.0,40,44,201.999984,120.7901235,40.2,53903,16,551,20.98,0.0,97.84,202.0
2021-03-31,36.0,44.0,92.0,93.0,15.0,20.0,39,44,201.999984,120.7901235,40.2,53903,16,551,20.99,0.0,97.84,202.0
2021-04-01,33.0,45.0,92.0,93.0,15.0,24.0,39,44,201.999984,120.3950617,40.4,53886,16,553,21.0,0.0,97.52,202.0
2021-04-02,36.0,44.0,92.0,93.0,15.0,20.0,39,44,201.999984,120.3950617,40.4,53886,16,553,20.99,0.0,97.52,202.0
2021-04-03,35.0,44.0,92.0,93.0,15.0,20.0,40,44,201.999984,120.3950617,40.4,53886,16,553,21.03,0.0,97.52,202.0
2021-04-04,35.0,44.0,92.0,93.0,15.0,23.0,40,44,201.999984,120.3950617,40.4,53886,16,553,20.96,0.0,97.52,202.0
2021-04-05,36.0,43.0,92.0,93.0,15.0,23.0,40,44,205.999992,120.5061728,41.5,52271,16,536,21.0,0.0,97.61,206.0
2021-04-06,36.0,43.0,92.0,93.0,15.0,20.0,40,44,205.999992,120.5061728,41.5,52271,16,536,21.0,0.0,97.61,206.0
2021-04-07,36.0,43.0,92.0,93.0,15.0,20.0,40,44,205.999992,120.5061728,41.5,52271,16,536,21.06,0.0,97.61,206.0
2021-04-08,36.0,43.0,92.0,93.0,15.0,20.0,40,44,205.999992,120.5061728,41.5,52271,16,536,20.98,0.0,97.61,206.0
2021-04-09,36.0,43.0,92.0,93.0,15.0,19.0,40,44,205.999992,120.5061728,41.5,52271,16,536,20.98,0.0,97.61,206.0
2021-04-10,35.0,43.0,92.0,93.0,15.0,22.0,39,45,192.999984,112.5185185,41.7,56536,16,620,20.99,0.0,91.14,193.0
2021-04-11,36.0,42.0,92.0,93.0,15.0,20.0,40,44,192.999984,112.5185185,41.7,56536,16,620,21.01,0.0,91.14,193.0
2021-04-12,36.0,42.0,92.0,93.0,15.0,18.0,41,43,192.999984,112.5185185,41.7,56536,16,620,21.0,0.0,91.14,193.0
2021-04-13,37.0,41.0,92.0,93.0,16.0,18.0,41,43,192.999984,112.5185185,41.7,56536,16,620,21.01,0.0,91.14,193.0
2021-04-14,37.0,42.0,92.0,93.0,16.0,18.0,41,43,192.999984,112.5185185,41.7,56536,16,620,20.99,0.0,91.14,193.0
2021-04-15,37.0,41.0,92.0,93.0,16.0,18.0,41,43,192.999984,112.5185185,41.7,56536,16,620,21.07,0.0,91.14,193.0
2021-04-16,37.0,42.0,92.0,93.0,16.0,23.0,40,44,180.999984,104.9753086,42.0,58852,16,692,21.0,0.0,85.03,181.0
2021-04-17,36.0,42.0,92.0,93.0,16.0,23.0,41,44,180.999984,104.9753086,42.0,58852,16,692,20.94,0.0,85.03,181.0
2021-04-18,36.0,43.0,92.0,93.0,16.0,23.0,41,44,180.999984,104.9753086,42.0,58852,16,692,21.0,0.0,85.03,181.0
2021-04-19,36.0,43.0,92.0,93.0,16.0,25.0,41,44,202.999992,117.5308642,42.1,51380,16,540,20.99,0.0,95.2,203.0
2021-04-20,36.0,42.0,92.0,93.0,15.0,18.0,41,44,202.999992,117.5308642,42.1,51380,16,540,21.05,0.0,95.2,203.0
2021-04-21,36.0,42.0,92.0,93.0,15.0,20.0,41,43,202.999992,117.5308642,42.1,51380,16,540,20.96,0.0,95.2,203.0
2021-04-22,36.0,42.0,92.0,93.0,15.0,23.0,41,43,204.0,118.1111111,42.1,51420,16,537,21.01,0.0,95.67,204.0
2021-04-23,36.0,42.0,92.0,93.0,15.0,23.0,41,43,204.0,118.1111111,42.1,51420,16,537,21.01,0.0,95.67,204.0
2021-04-24,36.0,42.0,92.0,93.0,15.0,23.0,41,43,204.0,118.1111111,42.1,51420,16,537,20.99,0.0,95.67,204.0
2021-04-25,36.0,42.0,92.0,93.0,15.0,23.0,41,43,201.999984,116.5555556,42.3,51488,16,545,20.99,0.0,94.41,202.0
2021-04-26,36.0,42.0,92.0,93.0,15.0,23.0,41,43,201.999984,116.5555556,42.3,51488,16,545,21.01,0.0,94.41,202.0
2021-04-27,36.0,42.0,92.0,93.0,15.0,23.0,41,43,201.999984,116.5555556,42.3,51488,16,545,21.01,0.0,94.41,202.0
2021-04-28,36.0,42.0,92.0,93.0,15.0,23.0,41,43,202.999992,116.7283951,42.5,51102,16,540,21.01,0.0,94.55,203.0
2021-04-29,36.0,42.0,92.0,93.0,15.0,23.0,41,43,202.999992,116.7283951,42.5,51102,16,540,21.01,0.0,94.55,203.0
2021-04-30,36.0,42.0,92.0,93.0,15.0,23.0,41,43,202.999992,116.7283951,42.5,51102,16,540,20.99,0.0,94.55,203.0
2021-05-01,36.0,42.0,92.0,93.0,15.0,23.0,41,43,201.999984,116.1481481,42.5,50995,16,542,21.01,0.0,94.08,202.0
2021-05-02,36.0,42.0,92.0,93.0,15.0,23.0,41,43,201.999984,116.1481481,42.5,50995,16,542,21.01,0.0,94.08,202.0
2021-05-03,36.0,42.0,92.0,93.0,15.0,23.0,41,43,201.999984,116.1481481,42.5,50995,16,542,21.01,0.0,94.08,202.0
2021-05-04,35.0,45.0,92.0,93.0,15.0,24.0,39,44,193.583318,111.308642,42.5,50995,16,542,20.76,1.0,94.08,202.0
2021-05-05,35.0,46.0,92.0,93.0,15.0,24.0,39,44,202.999992,117.3333333,42.2,50935,16,536,21.02,0.0,95.04,203.0
2021-05-06,35.0,46.0,92.0,93.0,15.0,24.0,39,44,202.999992,117.3333333,42.2,50935,16,536,20.88,0.0,95.04,203.0
2021-05-07,33.0,45.0,92.0,93.0,15.0,24.0,39,44,202.999992,117.3333333,42.2,50935,16,536,20.79,0.0,95.04,203.0
2021-05-08,36.0,41.0,92.0,93.0,15.0,17.0,41,43,202.999992,117.3333333,42.2,50935,16,536,20.89,0.0,95.04,203.0
2021-05-09,36.0,41.0,92.0,93.0,15.0,17.0,41,43,198.999984,115.0246914,42.2,50274,16,540,20.99,0.0,93.17,199.0
2021-05-10,36.0,41.0,92.0,93.0,15.0,17.0,41,43,198.999984,115.0246914,42.2,50274,16,540,21.03,0.0,93.17,199.0
2021-05-11,36.0,41.0,92.0,93.0,15.0,17.0,41,43,198.999984,115.0246914,42.2,50274,16,540,20.63,0.0,93.17,199.0
2021-05-12,36.0,41.0,92.0,93.0,15.0,22.0,41,43,198.999984,113.8271605,42.8,51429,16,558,20.82,0.0,92.2,199.0
2021-05-13,36.0,41.0,92.0,93.0,15.0,17.0,41,43,198.999984,113.8271605,42.8,51429,16,558,21.05,0.0,92.2,199.0
2021-05-14,36.0,41.0,92.0,93.0,15.0,17.0,41,43,198.999984,113.8271605,42.8,51429,16,558,21.03,0.0,92.2,199.0
2021-05-15,36.0,40.0,92.0,93.0,15.0,21.0,41,43,207.0,117.5802469,43.2,48962,16,514,20.9,0.0,95.24,207.0
2021-05-16,36.0,40.0,92.0,93.0,15.0,20.0,41,43,207.0,117.5802469,43.2,48962,16,514,21.03,0.0,95.24,207.0
2021-05-17,36.0,40.0,92.0,93.0,15.0,17.0,41,43,207.0,117.5802469,43.2,48962,16,514,20.99,0.0,95.24,207.0
2021-05-18,35.0,40.0,92.0,93.0,15.0,24.0,41,43,196.999992,111.5061728,43.4,50942,16,564,20.99,0.0,90.32,197.0
